# 이 표는 우리 순위가 아니다. 우리 순위는 지표 가중합이 아니라 실제 질문·답변의
# 채점이다(JUDGING.md). 지표로 줄 세우는 방식은 우리가 실측으로 폐기했다.
# 여기 있는 것은 **재계산에 필요한 원자료를 편 것**이다.
name,category,ours,repo_url,status,reachable,needs_key,tool_count,warm_ms,cold_ms,described_pct,desc_median,input_schema_pct,output_schema_pct,annotated_pct,readonly_pct,self_hosting,license,repo_public,paid_disclosed,tools_total,tools_free,tools_paid,rank_in_category,factual_errors
daehyub71/onbid-mcp,부동산,0,https://github.com/daehyub71/onbid-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
daehyub71/smart-korean-legal-platform,법령·판례,0,https://github.com/daehyub71/smart-korean-legal-platform,,,,,,,,,,,,,source_only,,1,0,,,,,
dahlia/ko-stdict-mcp,한국어·언어,0,https://github.com/dahlia/ko-stdict-mcp,,,,,,,,,,,,,source_only,AGPL-3.0,1,0,,,,,
dartpointai/dartpoint-mcp,금융·증시,0,https://github.com/dartpointai/dartpoint-mcp,live,1,0,37,25,25,100,192,100,0,0,0,source_only,Apache-2.0,1,0,,,,,
datagokr-dev/datagokr,공공데이터·행정,0,https://github.com/datagokr-dev/datagokr,live,1,0,6,137,138,100,389,100,100,100,100,packaged,MIT,1,0,,,,,
dikehomme/kr-law-mcp,법령·판례,0,https://github.com/dikehomme/kr-law-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
dodopd/kosis-mcp,공공데이터·행정,0,https://github.com/dodopd/kosis-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
dolseom/gongsi-mcp,금융·증시,0,https://github.com/dolseom/gongsi-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
dongkyucho17/krx-etf-mcp,금융·증시,0,https://github.com/dongkyucho17/krx-etf-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
dongkyucho17/onbid-mcp,부동산,0,https://github.com/dongkyucho17/onbid-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
eastho20/korea-stock-mcp-vercel,금융·증시,0,https://github.com/eastho20/korea-stock-mcp-vercel,,,,,,,,,,,,,source_only,,1,0,,,,,
eastminnn/stock-mate-mcp,금융·증시,0,https://github.com/eastminnn/stock-mate-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
eddmpython/dartlab,금융·증시,0,https://github.com/eddmpython/dartlab,live,1,0,26,,634,100,62,100,0,0,0,source_only,Apache-2.0,1,0,,,,,
edward-kim-dev/kr-pc-deals-mcp,커머스·생활,0,https://github.com/edward-kim-dev/kr-pc-deals-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
emceeKim/korea-finance-mcp,금융·증시,0,https://github.com/emceeKim/korea-finance-mcp,live,1,0,25,152,160,100,226,84,0,100,100,packaged,,1,0,,,,,
epoko77-ai/korean-bill-debate-mcp,공공데이터·행정,0,https://github.com/epoko77-ai/korean-bill-debate-mcp,live,1,1,,,345,,,,,,,source_only,Apache-2.0,1,0,,,,,
eu.ansvar/south-korea-law-mcp,법령·판례,0,https://github.com/Ansvar-Systems/south-korea-law-mcp,,,,,,,,,,,,,packaged,,,0,,,,,
farmbit-mdk/korea-market-data-mcp,금융·증시,0,https://github.com/farmbit-mdk/korea-market-data-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
finalchild/law-mcp,법령·판례,0,https://github.com/finalchild/law-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
flytothesky23/obsidian-korean-dart-codex,금융·증시,0,https://github.com/flytothesky23/obsidian-korean-dart-codex,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
geonwoo-jeong/japanese-law-mcp,법령·판례,0,https://github.com/geonwoo-jeong/japanese-law-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
ghga20-ui/eval-bank,교육·문화,0,https://github.com/ghga20-ui/eval-bank,,,,,,,,,,,,,source_only,,1,0,,,,,
gigaminkyu/korean-law-mcp,법령·판례,0,https://github.com/gigaminkyu/korean-law-mcp,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
giovinazo/alio-mcp,공공데이터·행정,0,https://github.com/giovinazo/alio-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
giovinazo/ic-dev-advisor,공공데이터·행정,0,https://github.com/giovinazo/ic-dev-advisor,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
giovinazo/open-law,법령·판례,0,https://github.com/giovinazo/open-law,,,,,,,,,,,,,source_only,,1,0,,,,,
guinnessNet/maipharm-domae-mcp,의료·복지,0,https://github.com/guinnessNet/maipharm-domae-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
gws8820/shippingtracker,교통·이동,0,https://github.com/gws8820/shippingtracker,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
handbell-H/mcp-kakao_map_mobility,지도·주소,0,https://github.com/handbell-H/mcp-kakao_map_mobility,,,,,,,,,,,,,packaged,,1,0,,,,,
harimkang/mcp-korea-tourism-api,교육·문화,0,https://github.com/harimkang/mcp-korea-tourism-api,unverified,0,0,,,125,,,,,,,packaged,MIT,1,0,,,,,
herrozim-ship-it/yureong,법령·판례,0,https://github.com/herrozim-ship-it/yureong,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
hichang4u/data-go-mcp-servers,공공데이터·행정,0,https://github.com/hichang4u/data-go-mcp-servers,,,,,,,,,,,,,source_only,Apache-2.0,1,0,,,,,
hike-lab/public-data-lens,공공데이터·행정,0,https://github.com/hike-lab/public-data-lens,live,1,0,9,26,26,100,225,89,100,100,100,source_only,MIT,1,0,,,,,
hjsh200219/korea-public-data-mcp,공공데이터·행정,0,https://github.com/hjsh200219/korea-public-data-mcp,live,1,0,19,524,604,100,261,100,100,100,100,packaged,,1,0,,,,,
hlucent/airkorea-realtime-mcp,날씨·환경,0,https://github.com/hlucent/airkorea-realtime-mcp,down,0,0,,,105,,,,,,,source_only,MIT,1,0,,,,,
